Branch,Avg Cycling White,Avg Cycling Black or African American,Avg Cycling: High School or More,Avg Cycling: Bachelors or More,Avg Cycling: Masters or More,Avg Cycling At or Above Poverty,Avg Cycling In Poverty,"Avg Cycling Income: $150,000 to $199,999",Avg Cycling Employed,Avg Cycling Unemployed,Avg Cycling Has Internet Access,Avg Cycling Has No Internet Access
Near North,4.333211337981816,3.371470950635889,4.226584047966879,4.301331019488641,4.322110523442402,4.246458039244509,3.89428125870272,4.349066482139328,4.207299542570021,4.442096993735838,4.215426311137619,3.5994717540838725
North Austin,5.232081671621862,3.949831200291483,4.49336994174047,4.281376419953155,4.129393126664521,4.671687472931369,4.461444859928795,4.764174483808833,4.662784410119626,4.384557290957041,4.62855894292527,4.692313946597942
North Pulaski,5.36374958215786,4.89833349880564,5.19540066365891,5.280521905483022,4.858521070166625,5.223672365589292,4.693471987791249,5.7601539555097885,5.185695029654197,4.530011900811156,5.159587537069327,5.003632538774896
Northtown,5.9014919917770605,5.502201563136937,5.830898863530312,5.703295164620401,5.79578546316355,5.860095352998021,5.316115284201864,6.445655818127127,5.770084014256146,6.060444856869675,5.814713119994699,5.601753654504783
Oriole Park,9.695848322413593,11.291145923251513,9.745826392414587,9.691191081119111,9.114359988815067,9.720319665485777,10.695752972028089,8.656875709953637,9.772814916294116,9.831466782489125,9.714407030714204,10.231692173858333
Portage-Cragin,5.6532244199063655,5.800426880951166,5.556318769011912,5.59690526259923,5.813282540894631,5.567003714069501,5.803254542349417,5.57469482934491,5.600186942475086,5.490343230071862,5.610498838694099,5.501016998429393
Pullman,6.10072251124214,4.921426774639542,5.134391150224857,5.09310304524677,5.146961183998339,5.145509344845732,5.011179269037264,4.65413059152873,5.2206612832049295,4.705252845281362,5.243124997233061,4.699836749239158
Roden,7.568303078510155,6.785802098035741,7.506734554736399,7.582977399739161,7.516559131636805,7.537670709429602,6.921519651099935,7.409619190219761,7.517881658391321,7.271537838041016,7.628966662965336,6.545393255631781
Rogers Park,4.899040869854973,4.789554062188514,4.837944533544579,4.849958163541576,5.042947744026109,4.8112578666651125,4.825805114566459,5.025521085623634,4.820842656615913,4.679589437155471,4.819932657756061,4.757365835821458
Scottsdale,7.238537320228734,5.296266665925685,6.575424812796295,6.846789614020251,6.979106625104608,6.54334630258615,6.287838075296968,6.675234949901463,6.573310298050533,5.987925744694402,6.498427440314667,6.670401564779011
Sherman Park,5.021432546452013,4.07856791465303,4.434161346988643,4.119901499123955,4.349445682058127,4.495547300597851,4.410889729391048,5.7201459000442965,4.486371672001708,4.392402397683659,4.544550759910679,4.215468581791752
South Chicago,7.565141563117281,6.149935893576351,6.732306790569418,6.8737112120346415,6.857768636411576,6.931252813671178,5.879800808954033,7.072941236980533,6.787865331495078,6.048925534388103,6.728136308801574,6.345190793429431
South Shore,6.649158103621708,5.834404225956453,5.850465138750398,5.861696039952972,5.90540917577216,5.980901295559428,5.696295129315987,4.506868249333394,5.966482014852805,5.545004958613628,5.837702161733092,6.249421549709817
Sulzer Regional,4.744664001885076,4.655899521167642,4.79397277441769,4.721023983212991,4.734834802604852,4.818255708127531,4.8896704732302,4.881526324003247,4.817263023429851,4.932810109309572,4.819979845586031,4.85964501579503
Thurgood Marshall,5.5522835669336725,5.50116031246849,5.546490390470044,5.899567224382603,5.732547591561629,5.463416991465268,5.652524300677892,5.676788480483662,5.481558515630423,5.65178932139423,5.555412770253563,5.408669495774673
Toman,6.222766392140858,7.311639017217395,6.729921140530504,6.714251824231647,7.188533250822205,6.556435512713983,5.942898701462852,6.078949426636169,6.521401888997307,5.802209051484329,6.5775151684262765,5.946240407768274
Uptown,4.794149230913522,3.784561403622885,4.652126110229773,4.823541891732996,4.854451153686536,4.695268511467751,3.932642060285515,4.638016277127612,4.605356901747409,4.346213717139445,4.628652126394364,4.040687224505073
